
Experiment 0/2, Best Epoch: 13/15, Best Loss: 1.0383, Best Accuracy: (72%), Final Loss: 1.0421, Final Accuracy: (72%), NN-Evaluations (forw./backw.): 15000/15000 (4.049s/2.201s), Par. 7850 Time: 147.4
Experiment 1/2, Best Epoch: 14/15, Best Loss: 0.1935, Best Accuracy: (94%), Final Loss: 0.1935, Final Accuracy: (94%), NN-Evaluations (forw./backw.): 15000/15000 (5.584s/3.709s), Par. 8070 Time: 155.3
Experiment 2/2, Best Epoch: 8/15, Best Loss: 1.5758, Best Accuracy: (70%), Final Loss: 1.9641, Final Accuracy: (71%), NN-Evaluations (forw./backw.): 15000/15000 (3.771s/2.104s), Par. 15700 Time: 145.1
Experiment 0/2, Best Epoch: 10/15, Best Loss: 0.5337, Best Accuracy: (92%), Final Loss: 0.5430, Final Accuracy: (92%), NN-Evaluations (forw./backw.): 15000/15000 (3.732s/2.004s), Par. 7850 Time: 145.9
Experiment 1/2, Best Epoch: 14/15, Best Loss: 0.1962, Best Accuracy: (94%), Final Loss: 0.1962, Final Accuracy: (94%), NN-Evaluations (forw./backw.): 15000/15000 (5.097s/3.323s), Par. 8070 Time: 149.6
Experiment 2/2, Best Epoch: 10/15, Best Loss: 0.9790, Best Accuracy: (91%), Final Loss: 0.9830, Final Accuracy: (91%), NN-Evaluations (forw./backw.): 15000/15000 (3.732s/2.074s), Par. 15700 Time: 146.3
Experiment 0/2, Best Epoch: 14/15, Best Loss: 0.5371, Best Accuracy: (92%), Final Loss: 0.5371, Final Accuracy: (92%), NN-Evaluations (forw./backw.): 15000/15000 (4.049s/2.202s), Par. 7850 Time: 149.1
Experiment 1/2, Best Epoch: 13/15, Best Loss: 0.2058, Best Accuracy: (94%), Final Loss: 0.2065, Final Accuracy: (94%), NN-Evaluations (forw./backw.): 15000/15000 (5.524s/3.659s), Par. 8070 Time: 154.1
Experiment 2/2, Best Epoch: 0/15, Best Loss: 1.7549, Best Accuracy: (70%), Final Loss: 2.7918, Final Accuracy: (79%), NN-Evaluations (forw./backw.): 15000/15000 (4.082s/2.325s), Par. 15700 Time: 151.4
Experiment 0/2, Best Epoch: 5/15, Best Loss: 0.8434, Best Accuracy: (81%), Final Loss: 0.8486, Final Accuracy: (82%), NN-Evaluations (forw./backw.): 15000/15000 (4.390s/2.444s), Par. 7850 Time: 156.7
Experiment 1/2, Best Epoch: 13/15, Best Loss: 0.2126, Best Accuracy: (94%), Final Loss: 0.2129, Final Accuracy: (94%), NN-Evaluations (forw./backw.): 15000/15000 (6.518s/4.285s), Par. 8070 Time: 167.3
Experiment 2/2, Best Epoch: 1/15, Best Loss: 1.5312, Best Accuracy: (70%), Final Loss: 1.5543, Final Accuracy: (72%), NN-Evaluations (forw./backw.): 15000/15000 (4.514s/2.577s), Par. 15700 Time: 159.1
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.9896, Best Accuracy: (75%), Final Loss: 1.0074, Final Accuracy: (73%), NN-Evaluations (forw./backw.): 15000/15000 (4.544s/2.501s), Par. 7850 Time: 159.4
Experiment 1/2, Best Epoch: 12/15, Best Loss: 0.1862, Best Accuracy: (95%), Final Loss: 0.1900, Final Accuracy: (95%), NN-Evaluations (forw./backw.): 15000/15000 (6.469s/4.195s), Par. 8070 Time: 167.2
Experiment 2/2, Best Epoch: 9/15, Best Loss: 1.0903, Best Accuracy: (91%), Final Loss: 1.0980, Final Accuracy: (91%), NN-Evaluations (forw./backw.): 15000/15000 (4.759s/2.704s), Par. 15700 Time: 163.7
Experiment 0/2, Best Epoch: 8/15, Best Loss: 0.5307, Best Accuracy: (92%), Final Loss: 0.5364, Final Accuracy: (92%), NN-Evaluations (forw./backw.): 15000/15000 (4.751s/2.592s), Par. 7850 Time: 163.4
Experiment 1/2, Best Epoch: 13/15, Best Loss: 0.2033, Best Accuracy: (94%), Final Loss: 0.2038, Final Accuracy: (94%), NN-Evaluations (forw./backw.): 15000/15000 (6.617s/4.452s), Par. 8070 Time: 170.6
Experiment 2/2, Best Epoch: 9/15, Best Loss: 0.9385, Best Accuracy: (91%), Final Loss: 0.9636, Final Accuracy: (91%), NN-Evaluations (forw./backw.): 15000/15000 (4.124s/2.307s), Par. 15700 Time: 153.0
Experiment 0/2, Best Epoch: 5/15, Best Loss: 1.0425, Best Accuracy: (71%), Final Loss: 14.9056, Final Accuracy: (72%), NN-Evaluations (forw./backw.): 15000/15000 (3.951s/2.123s), Par. 7850 Time: 149.0
Experiment 1/2, Best Epoch: 14/15, Best Loss: 0.1962, Best Accuracy: (94%), Final Loss: 0.1962, Final Accuracy: (94%), NN-Evaluations (forw./backw.): 15000/15000 (5.503s/3.607s), Par. 8070 Time: 156.9
