
Experiment 0/2, Best Epoch: 12/15, Best Loss: 0.1142, Best Accuracy: (0%), Final Loss: 0.1298, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.899s/0.680s), Par. 76 Time: 4.1
Experiment 1/2, Best Epoch: 11/15, Best Loss: 0.1924, Best Accuracy: (0%), Final Loss: 0.2860, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.663s/0.530s), Par. 78 Time: 3.5
Experiment 2/2, Best Epoch: 12/15, Best Loss: 0.0468, Best Accuracy: (0%), Final Loss: 0.1030, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.490s/0.361s), Par. 76 Time: 3.1
Experiment 0/2, Best Epoch: 9/15, Best Loss: 0.0652, Best Accuracy: (0%), Final Loss: 0.3086, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.868s/0.672s), Par. 76 Time: 4.1
Experiment 1/2, Best Epoch: 12/15, Best Loss: 0.1181, Best Accuracy: (0%), Final Loss: 0.1674, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.699s/0.537s), Par. 78 Time: 3.7
Experiment 2/2, Best Epoch: 6/15, Best Loss: 0.0486, Best Accuracy: (0%), Final Loss: 0.0803, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.502s/0.378s), Par. 76 Time: 3.2
Experiment 0/2, Best Epoch: 7/15, Best Loss: 0.1004, Best Accuracy: (0%), Final Loss: 0.1289, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.892s/0.696s), Par. 76 Time: 4.2
Experiment 1/2, Best Epoch: 6/15, Best Loss: 0.1322, Best Accuracy: (0%), Final Loss: 0.1687, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.719s/0.559s), Par. 78 Time: 3.8
Experiment 2/2, Best Epoch: 10/15, Best Loss: 0.0450, Best Accuracy: (0%), Final Loss: 0.0908, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.496s/0.374s), Par. 76 Time: 3.0
Experiment 0/2, Best Epoch: 10/15, Best Loss: 0.1624, Best Accuracy: (0%), Final Loss: 0.1868, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.886s/0.704s), Par. 76 Time: 4.1
Experiment 1/2, Best Epoch: 12/15, Best Loss: 0.0557, Best Accuracy: (0%), Final Loss: 0.0807, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.740s/0.569s), Par. 78 Time: 3.8
Experiment 2/2, Best Epoch: 13/15, Best Loss: 0.0541, Best Accuracy: (0%), Final Loss: 0.0736, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.532s/0.404s), Par. 76 Time: 3.3
Experiment 0/2, Best Epoch: 9/15, Best Loss: 0.1072, Best Accuracy: (0%), Final Loss: 0.1885, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.896s/0.715s), Par. 76 Time: 4.3
Experiment 1/2, Best Epoch: 8/15, Best Loss: 0.0825, Best Accuracy: (0%), Final Loss: 0.1180, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.796s/0.593s), Par. 78 Time: 3.8
Experiment 2/2, Best Epoch: 13/15, Best Loss: 0.0392, Best Accuracy: (0%), Final Loss: 0.1924, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.534s/0.401s), Par. 76 Time: 3.3
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.0661, Best Accuracy: (0%), Final Loss: 0.0700, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.896s/0.722s), Par. 76 Time: 4.1
Experiment 1/2, Best Epoch: 10/15, Best Loss: 0.1149, Best Accuracy: (0%), Final Loss: 0.2216, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.744s/0.593s), Par. 78 Time: 4.0
Experiment 2/2, Best Epoch: 11/15, Best Loss: 0.1071, Best Accuracy: (0%), Final Loss: 0.2747, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.503s/0.376s), Par. 76 Time: 3.1
Experiment 0/2, Best Epoch: 12/15, Best Loss: 0.1444, Best Accuracy: (0%), Final Loss: 0.1691, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.905s/0.710s), Par. 76 Time: 4.2
Experiment 1/2, Best Epoch: 7/15, Best Loss: 0.0956, Best Accuracy: (0%), Final Loss: 0.2042, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.758s/0.601s), Par. 78 Time: 3.9
Experiment 2/2, Best Epoch: 14/15, Best Loss: 0.0432, Best Accuracy: (0%), Final Loss: 0.0432, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.506s/0.386s), Par. 76 Time: 3.2
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.1393, Best Accuracy: (0%), Final Loss: 0.2518, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.906s/0.731s), Par. 76 Time: 4.2
Experiment 1/2, Best Epoch: 8/15, Best Loss: 0.0776, Best Accuracy: (0%), Final Loss: 0.2492, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.754s/0.576s), Par. 78 Time: 4.0
Experiment 2/2, Best Epoch: 5/15, Best Loss: 0.0180, Best Accuracy: (0%), Final Loss: 0.1460, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.538s/0.395s), Par. 76 Time: 3.4
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.1210, Best Accuracy: (0%), Final Loss: 0.3822, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.903s/0.724s), Par. 76 Time: 4.3
Experiment 1/2, Best Epoch: 14/15, Best Loss: 0.0728, Best Accuracy: (0%), Final Loss: 0.0728, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.741s/0.565s), Par. 78 Time: 3.8
Experiment 2/2, Best Epoch: 10/15, Best Loss: 0.0283, Best Accuracy: (0%), Final Loss: 0.4102, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.562s/0.405s), Par. 76 Time: 3.2
Experiment 0/2, Best Epoch: 12/15, Best Loss: 0.1460, Best Accuracy: (0%), Final Loss: 0.2046, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.931s/0.723s), Par. 76 Time: 4.2
Experiment 1/2, Best Epoch: 7/15, Best Loss: 0.1133, Best Accuracy: (0%), Final Loss: 0.2036, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.733s/0.571s), Par. 78 Time: 4.0
Experiment 2/2, Best Epoch: 14/15, Best Loss: 0.0536, Best Accuracy: (0%), Final Loss: 0.0536, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.515s/0.396s), Par. 76 Time: 3.3
