
Experiment 0/8, Best Epoch: 1/5, Best Loss: 4.0219, Best Accuracy: (0%), Final Loss: 7.4363, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.531s/1.935s), Par. 76 Time: 8.9
Experiment 1/8, Best Epoch: 3/5, Best Loss: 2.1429, Best Accuracy: (0%), Final Loss: 2.7913, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.129s/1.595s), Par. 78 Time: 8.2
Experiment 2/8, Best Epoch: 3/5, Best Loss: 0.8045, Best Accuracy: (0%), Final Loss: 0.8539, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.439s/1.034s), Par. 76 Time: 6.4
Experiment 3/8, Best Epoch: 9/10, Best Loss: 8.4559, Best Accuracy: (0%), Final Loss: 8.4559, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (5.583s/4.189s), Par. 76 Time: 19.5
Experiment 4/8, Best Epoch: 2/10, Best Loss: 1.1397, Best Accuracy: (0%), Final Loss: 2.3523, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (7.919s/5.353s), Par. 78 Time: 25.4
Experiment 5/8, Best Epoch: 6/10, Best Loss: 0.0495, Best Accuracy: (0%), Final Loss: 0.0508, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.996s/2.613s), Par. 76 Time: 15.9
Experiment 6/8, Best Epoch: 2/15, Best Loss: 9.8454, Best Accuracy: (0%), Final Loss: 33.0295, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (7.964s/5.915s), Par. 76 Time: 28.3
Experiment 7/8, Best Epoch: 14/15, Best Loss: 1.9005, Best Accuracy: (0%), Final Loss: 1.9005, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (6.506s/4.715s), Par. 78 Time: 24.9
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.2504, Best Accuracy: (0%), Final Loss: 0.2504, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.800s/3.826s), Par. 76 Time: 23.6
Experiment 0/8, Best Epoch: 1/5, Best Loss: 2.4076, Best Accuracy: (0%), Final Loss: 20.6736, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.712s/1.967s), Par. 76 Time: 9.5
Experiment 1/8, Best Epoch: 2/5, Best Loss: 3.7207, Best Accuracy: (0%), Final Loss: 4.3938, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.391s/1.692s), Par. 78 Time: 8.7
Experiment 2/8, Best Epoch: 4/5, Best Loss: 0.4808, Best Accuracy: (0%), Final Loss: 0.4808, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.799s/1.235s), Par. 76 Time: 7.4
Experiment 3/8, Best Epoch: 2/10, Best Loss: 9.8457, Best Accuracy: (0%), Final Loss: 752.2612, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (5.085s/3.911s), Par. 76 Time: 18.5
Experiment 4/8, Best Epoch: 5/10, Best Loss: 0.9786, Best Accuracy: (0%), Final Loss: 1.1125, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (4.076s/3.081s), Par. 78 Time: 16.1
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.1150, Best Accuracy: (0%), Final Loss: 0.1150, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.298s/2.299s), Par. 76 Time: 14.3
Experiment 6/8, Best Epoch: 14/15, Best Loss: 3.9651, Best Accuracy: (0%), Final Loss: 3.9651, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (8.046s/6.104s), Par. 76 Time: 28.9
Experiment 7/8, Best Epoch: 2/15, Best Loss: 3.6462, Best Accuracy: (0%), Final Loss: 15.9425, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (6.595s/4.927s), Par. 78 Time: 25.6
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.0769, Best Accuracy: (0%), Final Loss: 0.0769, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (6.009s/4.219s), Par. 76 Time: 24.6
Experiment 0/8, Best Epoch: 2/5, Best Loss: 2.4163, Best Accuracy: (0%), Final Loss: 4.6904, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (3.429s/2.412s), Par. 76 Time: 11.2
Experiment 1/8, Best Epoch: 4/5, Best Loss: 12.0444, Best Accuracy: (0%), Final Loss: 12.0444, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.536s/1.870s), Par. 78 Time: 9.5
Experiment 2/8, Best Epoch: 4/5, Best Loss: 0.8130, Best Accuracy: (0%), Final Loss: 0.8130, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.968s/1.334s), Par. 76 Time: 8.1
Experiment 3/8, Best Epoch: 6/10, Best Loss: 0.4353, Best Accuracy: (0%), Final Loss: 2.2873, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (5.506s/4.227s), Par. 76 Time: 19.7
Experiment 4/8, Best Epoch: 9/10, Best Loss: 4.2976, Best Accuracy: (0%), Final Loss: 4.2976, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (5.045s/3.812s), Par. 78 Time: 18.9
Experiment 5/8, Best Epoch: 8/10, Best Loss: 0.0998, Best Accuracy: (0%), Final Loss: 0.1004, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.143s/2.312s), Par. 76 Time: 14.1
Experiment 6/8, Best Epoch: 1/15, Best Loss: 3.4672, Best Accuracy: (0%), Final Loss: 4105.7698, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (8.918s/6.670s), Par. 76 Time: 31.2
Experiment 7/8, Best Epoch: 14/15, Best Loss: 2.3508, Best Accuracy: (0%), Final Loss: 2.3508, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (6.941s/5.199s), Par. 78 Time: 26.3
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.2260, Best Accuracy: (0%), Final Loss: 0.2260, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (3.587s/2.686s), Par. 76 Time: 17.5
Experiment 0/8, Best Epoch: 4/5, Best Loss: 11.3188, Best Accuracy: (0%), Final Loss: 11.3188, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.656s/2.067s), Par. 76 Time: 10.0
Experiment 1/8, Best Epoch: 0/5, Best Loss: 9.1272, Best Accuracy: (0%), Final Loss: 11.6804, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.453s/1.156s), Par. 78 Time: 6.3
Experiment 2/8, Best Epoch: 4/5, Best Loss: 0.2284, Best Accuracy: (0%), Final Loss: 0.2284, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (0.893s/0.716s), Par. 76 Time: 4.7
Experiment 3/8, Best Epoch: 9/10, Best Loss: 1.0957, Best Accuracy: (0%), Final Loss: 1.0957, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.540s/2.743s), Par. 76 Time: 14.0
