
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.0348, Best Accuracy: (0%), Final Loss: 0.0872, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.615s/0.416s), Par. 76 Time: 3.3
Experiment 1/2, Best Epoch: 12/15, Best Loss: 0.0756, Best Accuracy: (0%), Final Loss: 0.1237, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.529s/0.401s), Par. 46 Time: 3.2
Experiment 2/2, Best Epoch: 12/15, Best Loss: 0.1319, Best Accuracy: (0%), Final Loss: 0.2710, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.513s/0.383s), Par. 16 Time: 3.1
Experiment 0/2, Best Epoch: 13/15, Best Loss: 0.0489, Best Accuracy: (0%), Final Loss: 0.0860, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.383s/0.305s), Par. 76 Time: 2.7
Experiment 1/2, Best Epoch: 11/15, Best Loss: 0.0273, Best Accuracy: (0%), Final Loss: 0.1257, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.395s/0.314s), Par. 46 Time: 2.7
Experiment 2/2, Best Epoch: 14/15, Best Loss: 0.1102, Best Accuracy: (0%), Final Loss: 0.1102, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.416s/0.334s), Par. 16 Time: 2.9
Experiment 0/2, Best Epoch: 13/15, Best Loss: 0.0280, Best Accuracy: (0%), Final Loss: 0.0775, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.396s/0.315s), Par. 76 Time: 2.7
Experiment 1/2, Best Epoch: 12/15, Best Loss: 0.0661, Best Accuracy: (0%), Final Loss: 0.3289, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.413s/0.326s), Par. 46 Time: 2.8
Experiment 2/2, Best Epoch: 8/15, Best Loss: 0.6922, Best Accuracy: (0%), Final Loss: 0.7067, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.403s/0.320s), Par. 16 Time: 2.8
Experiment 0/2, Best Epoch: 9/15, Best Loss: 0.0424, Best Accuracy: (0%), Final Loss: 0.1311, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.399s/0.319s), Par. 76 Time: 2.7
Experiment 1/2, Best Epoch: 12/15, Best Loss: 0.0721, Best Accuracy: (0%), Final Loss: 0.1175, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.395s/0.312s), Par. 46 Time: 2.7
