Experiment 0 - beta: 10.000, gamma: 0.010, sigma: 0.100, lambda: 0.100, layer size: 20, training loss: 85.545, validation loss: 142.168, time: 156.24252796173096
Experiment 1 - beta: 50.000, gamma: 0.010, sigma: 0.100, lambda: 0.100, layer size: 20, training loss: 85.973, validation loss: 167.092, time: 156.61881589889526
Experiment 2 - beta: 10.000, gamma: 0.100, sigma: 0.100, lambda: 0.100, layer size: 20, training loss: 84.694, validation loss: 142.598, time: 154.46704149246216
Experiment 3 - beta: 50.000, gamma: 0.100, sigma: 0.100, lambda: 0.100, layer size: 20, training loss: 85.591, validation loss: 126.399, time: 158.05122447013855
Experiment 4 - beta: 10.000, gamma: 0.010, sigma: 0.316, lambda: 0.100, layer size: 20, training loss: 69.011, validation loss: 135.026, time: 154.54548454284668

Experiment 5 - beta: 50.000, gamma: 0.010, sigma: 0.316, lambda: 0.100, layer size: 20, training loss: 72.389, validation loss: 144.851, time: 156.0989363193512
Experiment 6 - beta: 10.000, gamma: 0.100, sigma: 0.316, lambda: 0.100, layer size: 20, training loss: 8.217, validation loss: 11.947, time: 161.0461709499359
Experiment 7 - beta: 50.000, gamma: 0.100, sigma: 0.316, lambda: 0.100, layer size: 20, training loss: 8.450, validation loss: 16.351, time: 153.80905771255493
Experiment 8 - beta: 10.000, gamma: 0.010, sigma: 0.632, lambda: 0.100, layer size: 20, training loss: 20.329, validation loss: 40.372, time: 144.97009801864624
Experiment 9 - beta: 50.000, gamma: 0.010, sigma: 0.632, lambda: 0.100, layer size: 20, training loss: 22.005, validation loss: 10.930, time: 146.12098050117493
Experiment 10 - beta: 10.000, gamma: 0.100, sigma: 0.632, lambda: 0.100, layer size: 20, training loss: 80359188.786, validation loss: 19888935.854, time: 144.61993932724
Experiment 11 - beta: 50.000, gamma: 0.100, sigma: 0.632, lambda: 0.100, layer size: 20, training loss: 6223108.107, validation loss: 11305224.795, time: 149.71412920951843
Experiment 12 - beta: 10.000, gamma: 0.010, sigma: 0.100, lambda: 1.000, layer size: 20, training loss: 89.524, validation loss: 153.132, time: 150.4505033493042
Experiment 13 - beta: 50.000, gamma: 0.010, sigma: 0.100, lambda: 1.000, layer size: 20, training loss: 87.608, validation loss: 98.065, time: 142.84859037399292
Experiment 14 - beta: 10.000, gamma: 0.100, sigma: 0.100, lambda: 1.000, layer size: 20, training loss: 49.415, validation loss: 68.990, time: 143.73690462112427
Experiment 15 - beta: 50.000, gamma: 0.100, sigma: 0.100, lambda: 1.000, layer size: 20, training loss: 57.174, validation loss: 90.360, time: 143.55441689491272
Experiment 16 - beta: 10.000, gamma: 0.010, sigma: 0.316, lambda: 1.000, layer size: 20, training loss: 86.311, validation loss: 147.938, time: 144.62161946296692
Experiment 17 - beta: 50.000, gamma: 0.010, sigma: 0.316, lambda: 1.000, layer size: 20, training loss: 85.058, validation loss: 148.977, time: 140.81596040725708
Experiment 18 - beta: 10.000, gamma: 0.100, sigma: 0.316, lambda: 1.000, layer size: 20, training loss: 24.192, validation loss: 41.762, time: 140.72879362106323
Experiment 19 - beta: 50.000, gamma: 0.100, sigma: 0.316, lambda: 1.000, layer size: 20, training loss: 29.003, validation loss: 29.937, time: 140.2580108642578
Experiment 20 - beta: 10.000, gamma: 0.010, sigma: 0.632, lambda: 1.000, layer size: 20, training loss: 77.407, validation loss: 130.375, time: 140.1538372039795
Experiment 21 - beta: 50.000, gamma: 0.010, sigma: 0.632, lambda: 1.000, layer size: 20, training loss: 79.545, validation loss: 107.021, time: 139.8534641265869
Experiment 22 - beta: 10.000, gamma: 0.100, sigma: 0.632, lambda: 1.000, layer size: 20, training loss: 7.623, validation loss: 11.239, time: 140.52630758285522
Experiment 23 - beta: 50.000, gamma: 0.100, sigma: 0.632, lambda: 1.000, layer size: 20, training loss: 7.916, validation loss: 11.955, time: 140.27848434448242
Experiment 24 - beta: 10.000, gamma: 0.010, sigma: 0.100, lambda: 0.100, layer size: 40, training loss: 81.110, validation loss: 168.340, time: 141.45529222488403
Experiment 25 - beta: 50.000, gamma: 0.010, sigma: 0.100, lambda: 0.100, layer size: 40, training loss: 81.565, validation loss: 112.974, time: 139.41203331947327
Experiment 26 - beta: 10.000, gamma: 0.100, sigma: 0.100, lambda: 0.100, layer size: 40, training loss: 80.620, validation loss: 165.873, time: 140.2885570526123
Experiment 27 - beta: 50.000, gamma: 0.100, sigma: 0.100, lambda: 0.100, layer size: 40, training loss: 82.527, validation loss: 130.655, time: 138.9162735939026
Experiment 28 - beta: 10.000, gamma: 0.010, sigma: 0.316, lambda: 0.100, layer size: 40, training loss: 68.706, validation loss: 147.639, time: 138.77075934410095
Experiment 29 - beta: 50.000, gamma: 0.010, sigma: 0.316, lambda: 0.100, layer size: 40, training loss: 70.870, validation loss: 67.060, time: 137.8748161792755
Experiment 30 - beta: 10.000, gamma: 0.100, sigma: 0.316, lambda: 0.100, layer size: 40, training loss: 10.354, validation loss: 14.346, time: 139.13710284233093
Experiment 31 - beta: 50.000, gamma: 0.100, sigma: 0.316, lambda: 0.100, layer size: 40, training loss: 9.360, validation loss: 22.379, time: 139.18650579452515
Experiment 32 - beta: 10.000, gamma: 0.010, sigma: 0.632, lambda: 0.100, layer size: 40, training loss: 18.563, validation loss: 31.061, time: 138.52801513671875
Experiment 33 - beta: 50.000, gamma: 0.010, sigma: 0.632, lambda: 0.100, layer size: 40, training loss: 11.176, validation loss: 9.083, time: 138.71228408813477
Experiment 34 - beta: 10.000, gamma: 0.100, sigma: 0.632, lambda: 0.100, layer size: 40, training loss: 218518389.502, validation loss: 10431795.077, time: 139.30851078033447
Experiment 35 - beta: 50.000, gamma: 0.100, sigma: 0.632, lambda: 0.100, layer size: 40, training loss: 145091001.887, validation loss: 43324839.212, time: 138.99673914909363
Experiment 36 - beta: 10.000, gamma: 0.010, sigma: 0.100, lambda: 1.000, layer size: 40, training loss: 82.467, validation loss: 161.077, time: 152.81769967079163
Experiment 37 - beta: 50.000, gamma: 0.010, sigma: 0.100, lambda: 1.000, layer size: 40, training loss: 81.589, validation loss: 159.750, time: 140.62681365013123
Experiment 38 - beta: 10.000, gamma: 0.100, sigma: 0.100, lambda: 1.000, layer size: 40, training loss: 47.110, validation loss: 120.578, time: 139.34465742111206
Experiment 39 - beta: 50.000, gamma: 0.100, sigma: 0.100, lambda: 1.000, layer size: 40, training loss: 49.021, validation loss: 119.939, time: 139.6223177909851
Experiment 40 - beta: 10.000, gamma: 0.010, sigma: 0.316, lambda: 1.000, layer size: 40, training loss: 82.677, validation loss: 161.808, time: 139.4094099998474
Experiment 41 - beta: 50.000, gamma: 0.010, sigma: 0.316, lambda: 1.000, layer size: 40, training loss: 80.583, validation loss: 158.887, time: 139.74704027175903
Experiment 42 - beta: 10.000, gamma: 0.100, sigma: 0.316, lambda: 1.000, layer size: 40, training loss: 19.812, validation loss: 57.091, time: 138.63183522224426
Experiment 43 - beta: 50.000, gamma: 0.100, sigma: 0.316, lambda: 1.000, layer size: 40, training loss: 18.322, validation loss: 38.461, time: 139.7874879837036
Experiment 44 - beta: 10.000, gamma: 0.010, sigma: 0.632, lambda: 1.000, layer size: 40, training loss: 71.049, validation loss: 148.749, time: 139.49948716163635
Experiment 45 - beta: 50.000, gamma: 0.010, sigma: 0.632, lambda: 1.000, layer size: 40, training loss: 71.596, validation loss: 141.924, time: 139.1082799434662
Experiment 46 - beta: 10.000, gamma: 0.100, sigma: 0.632, lambda: 1.000, layer size: 40, training loss: 7.405, validation loss: 11.914, time: 139.7606234550476
Experiment 47 - beta: 50.000, gamma: 0.100, sigma: 0.632, lambda: 1.000, layer size: 40, training loss: 8.536, validation loss: 14.504, time: 138.97368907928467
